word,translation,category,level,pos,headword,sublist,frequency,source,topic,scene
analyses,分析,academic,7,noun,analysis,1,65,AWL,,
analyst,分析,academic,7,noun,analysis,1,64,AWL,,
analytic,分析,academic,7,noun,analysis,1,63,AWL,,
analytical,分析,academic,7,noun,analysis,1,62,AWL,,
analytically,分析,academic,7,noun,analysis,1,61,AWL,,
approachable,方法/接近,academic,7,noun/verb,approach,1,65,AWL,,
approached,方法/接近,academic,7,noun/verb,approach,1,64,AWL,,
approaches,方法/接近,academic,7,noun/verb,approach,1,63,AWL,,
approaching,方法/接近,academic,7,noun/verb,approach,1,62,AWL,,
areas,领域,academic,7,noun,area,1,65,AWL,,
assess,评估,academic,7,noun,assessment,1,65,AWL,,
assessable,评估,academic,7,noun,assessment,1,64,AWL,,
assessed,评估,academic,7,noun,assessment,1,63,AWL,,
assesses,评估,academic,7,noun,assessment,1,62,AWL,,
assessing,评估,academic,7,noun,assessment,1,61,AWL,,
assessments,评估,academic,7,noun,assessment,1,65,AWL,,
reassess,评估,academic,7,noun,assessment,1,64,AWL,,
reassessed,评估,academic,7,noun,assessment,1,63,AWL,,
reassessing,评估,academic,7,noun,assessment,1,62,AWL,,
reassessment,评估,academic,7,noun,assessment,1,61,AWL,,
assumed,假设,academic,7,verb,assume,1,65,AWL,,
assumes,假设,academic,7,verb,assume,1,64,AWL,,
assuming,假设,academic,7,verb,assume,1,63,AWL,,
assumption,假设,academic,7,verb,assume,1,62,AWL,,
assumptions,假设,academic,7,verb,assume,1,61,AWL,,
authoritative,权威,academic,7,noun,authority,1,65,AWL,,
authorities,权威,academic,7,noun,authority,1,64,AWL,,
availability,可用的,academic,7,adjective,available,1,65,AWL,,
unavailable,可用的,academic,7,adjective,available,1,64,AWL,,
beneficial,益处,academic,7,noun/verb,benefit,1,65,AWL,,
beneficiary,益处,academic,7,noun/verb,benefit,1,64,AWL,,
beneficiaries,益处,academic,7,noun/verb,benefit,1,63,AWL,,
benefited,益处,academic,7,noun/verb,benefit,1,62,AWL,,
benefiting,益处,academic,7,noun/verb,benefit,1,61,AWL,,
benefits,益处,academic,7,noun/verb,benefit,1,65,AWL,,
conception,概念,academic,7,noun,concept,1,65,AWL,,
concepts,概念,academic,7,noun,concept,1,64,AWL,,
conceptual,概念,academic,7,noun,concept,1,63,AWL,,
conceptually,概念,academic,7,noun,concept,1,62,AWL,,
consisted,由...组成,academic,7,verb,consist,1,65,AWL,,
consistency,由...组成,academic,7,verb,consist,1,64,AWL,,
consistent,由...组成,academic,7,verb,consist,1,63,AWL,,
consistently,由...组成,academic,7,verb,consist,1,62,AWL,,
consisting,由...组成,academic,7,verb,consist,1,61,AWL,,
consists,由...组成,academic,7,verb,consist,1,65,AWL,,
inconsistency,由...组成,academic,7,verb,consist,1,64,AWL,,
inconsistent,由...组成,academic,7,verb,consist,1,63,AWL,,
constituencies,构成,academic,7,verb,constitute,1,65,AWL,,
constituency,构成,academic,7,verb,constitute,1,64,AWL,,
constituent,构成,academic,7,verb,constitute,1,63,AWL,,
constituents,构成,academic,7,verb,constitute,1,62,AWL,,
constituted,构成,academic,7,verb,constitute,1,61,AWL,,
constitutes,构成,academic,7,verb,constitute,1,65,AWL,,
constituting,构成,academic,7,verb,constitute,1,64,AWL,,
constitution,构成,academic,7,verb,constitute,1,63,AWL,,
constitutional,构成,academic,7,verb,constitute,1,62,AWL,,
constitutions,构成,academic,7,verb,constitute,1,61,AWL,,
constitutive,构成,academic,7,verb,constitute,1,65,AWL,,
contexts,上下文,academic,7,noun,context,1,65,AWL,,
contextual,上下文,academic,7,noun,context,1,64,AWL,,
contextually,上下文,academic,7,noun,context,1,63,AWL,,
contracted,合同,academic,7,noun/verb,contract,1,65,AWL,,
contracting,合同,academic,7,noun/verb,contract,1,64,AWL,,
contractor,合同,academic,7,noun/verb,contract,1,63,AWL,,
contractors,合同,academic,7,noun/verb,contract,1,62,AWL,,
contracts,合同,academic,7,noun/verb,contract,1,61,AWL,,
created,创造,academic,7,verb,create,1,65,AWL,,
creates,创造,academic,7,verb,create,1,64,AWL,,
creating,创造,academic,7,verb,create,1,63,AWL,,
creation,创造,academic,7,verb,create,1,62,AWL,,
creations,创造,academic,7,verb,create,1,61,AWL,,
creative,创造,academic,7,verb,create,1,65,AWL,,
creatively,创造,academic,7,verb,create,1,64,AWL,,
creativity,创造,academic,7,verb,create,1,63,AWL,,
creator,创造,academic,7,verb,create,1,62,AWL,,
creators,创造,academic,7,verb,create,1,61,AWL,,
datum,数据,academic,7,noun,data,1,65,AWL,,
definable,定义,academic,7,verb,define,1,65,AWL,,
defined,定义,academic,7,verb,define,1,64,AWL,,
defines,定义,academic,7,verb,define,1,63,AWL,,
defining,定义,academic,7,verb,define,1,62,AWL,,
definition,定义,academic,7,verb,define,1,61,AWL,,
definitions,定义,academic,7,verb,define,1,65,AWL,,
redefine,定义,academic,7,verb,define,1,64,AWL,,
redefined,定义,academic,7,verb,define,1,63,AWL,,
redefining,定义,academic,7,verb,define,1,62,AWL,,
undefined,定义,academic,7,verb,define,1,61,AWL,,
derivation,推导,academic,7,verb,derive,1,65,AWL,,
derivations,推导,academic,7,verb,derive,1,64,AWL,,
derivative,推导,academic,7,verb,derive,1,63,AWL,,
derivatives,推导,academic,7,verb,derive,1,62,AWL,,
derived,推导,academic,7,verb,derive,1,61,AWL,,
derives,推导,academic,7,verb,derive,1,65,AWL,,
deriving,推导,academic,7,verb,derive,1,64,AWL,,
distributed,分配,academic,7,verb,distribute,1,65,AWL,,
distributing,分配,academic,7,verb,distribute,1,64,AWL,,
distribution,分配,academic,7,verb,distribute,1,63,AWL,,
distributions,分配,academic,7,verb,distribute,1,62,AWL,,
distributive,分配,academic,7,verb,distribute,1,61,AWL,,
distributor,分配,academic,7,verb,distribute,1,65,AWL,,
distributors,分配,academic,7,verb,distribute,1,64,AWL,,
economic,经济,academic,7,noun,economy,1,65,AWL,,
economical,经济,academic,7,noun,economy,1,64,AWL,,
economically,经济,academic,7,noun,economy,1,63,AWL,,
economics,经济,academic,7,noun,economy,1,62,AWL,,
economies,经济,academic,7,noun,economy,1,61,AWL,,
economist,经济,academic,7,noun,economy,1,65,AWL,,
economists,经济,academic,7,noun,economy,1,64,AWL,,
environmental,环境,academic,7,noun,environment,1,65,AWL,,
environmentally,环境,academic,7,noun,environment,1,64,AWL,,
environments,环境,academic,7,noun,environment,1,63,AWL,,
disestablish,建立,academic,7,verb,establish,1,65,AWL,,
established,建立,academic,7,verb,establish,1,64,AWL,,
establishes,建立,academic,7,verb,establish,1,63,AWL,,
establishing,建立,academic,7,verb,establish,1,62,AWL,,
establishment,建立,academic,7,verb,establish,1,61,AWL,,
establishments,建立,academic,7,verb,establish,1,65,AWL,,
estimated,估计,academic,7,verb/noun,estimate,1,65,AWL,,
estimates,估计,academic,7,verb/noun,estimate,1,64,AWL,,
estimating,估计,academic,7,verb/noun,estimate,1,63,AWL,,
estimation,估计,academic,7,verb/noun,estimate,1,62,AWL,,
estimations,估计,academic,7,verb/noun,estimate,1,61,AWL,,
overestimate,估计,academic,7,verb/noun,estimate,1,65,AWL,,
underestimate,估计,academic,7,verb/noun,estimate,1,64,AWL,,
evidenced,证据,academic,7,noun,evidence,1,65,AWL,,
evident,证据,academic,7,noun,evidence,1,64,AWL,,
evidently,证据,academic,7,noun,evidence,1,63,AWL,,
exported,出口,academic,7,verb/noun,export,1,65,AWL,,
exporter,出口,academic,7,verb/noun,export,1,64,AWL,,
exporters,出口,academic,7,verb/noun,export,1,63,AWL,,
exporting,出口,academic,7,verb/noun,export,1,62,AWL,,
exports,出口,academic,7,verb/noun,export,1,61,AWL,,
factored,因素,academic,7,noun,factor,1,65,AWL,,
factoring,因素,academic,7,noun,factor,1,64,AWL,,
factors,因素,academic,7,noun,factor,1,63,AWL,,
financed,金融,academic,7,noun/verb,finance,1,65,AWL,,
finances,金融,academic,7,noun/verb,finance,1,64,AWL,,
financial,金融,academic,7,noun/verb,finance,1,63,AWL,,
financially,金融,academic,7,noun/verb,finance,1,62,AWL,,
financing,金融,academic,7,noun/verb,finance,1,61,AWL,,
formulas,公式,academic,7,noun,formula,1,65,AWL,,
formulate,公式,academic,7,noun,formula,1,64,AWL,,
formulated,公式,academic,7,noun,formula,1,63,AWL,,
formulating,公式,academic,7,noun,formula,1,62,AWL,,
formulation,公式,academic,7,noun,formula,1,61,AWL,,
functional,功能,academic,7,noun/verb,function,1,65,AWL,,
functionally,功能,academic,7,noun/verb,function,1,64,AWL,,
functioned,功能,academic,7,noun/verb,function,1,63,AWL,,
functioning,功能,academic,7,noun/verb,function,1,62,AWL,,
functions,功能,academic,7,noun/verb,function,1,61,AWL,,
identifiable,识别,academic,7,verb,identify,1,65,AWL,,
identification,识别,academic,7,verb,identify,1,64,AWL,,
identified,识别,academic,7,verb,identify,1,63,AWL,,
identifies,识别,academic,7,verb,identify,1,62,AWL,,
identifying,识别,academic,7,verb,identify,1,61,AWL,,
identities,识别,academic,7,verb,identify,1,65,AWL,,
identity,识别,academic,7,verb,identify,1,64,AWL,,
incomes,收入,academic,7,noun,income,1,65,AWL,,
