word,translation,pos,category,level,frequency,source
analysis,分析,noun,academic,7,55,AWL
analyst,分析师,noun,academic,7,55,AWL
analytic,分析的,adjective,academic,7,55,AWL
analytical,分析的,adjective,academic,7,55,AWL
analytically,分析地,adverb,academic,7,55,AWL
approach,方法/接近,noun/verb,academic,7,55,AWL
approachable,可接近的,adjective,academic,7,55,AWL
approached,接近,verb,academic,7,55,AWL
approaches,方法/接近,noun/verb,academic,7,55,AWL
approaching,接近,verb,academic,7,55,AWL
area,领域,noun,academic,7,55,AWL
areas,领域,noun,academic,7,55,AWL
assess,评估,verb,academic,7,55,AWL
assessable,可评估的,adjective,academic,7,55,AWL
assessment,评估,noun,academic,7,55,AWL
assessments,评估,noun,academic,7,55,AWL
reassess,重新评估,verb,academic,7,55,AWL
reassessment,重新评估,noun,academic,7,55,AWL
assume,假设,verb,academic,7,55,AWL
assumed,假设,verb,academic,7,55,AWL
assumes,假设,verb,academic,7,55,AWL
assuming,假设,verb,academic,7,55,AWL
assumption,假设,noun,academic,7,55,AWL
assumptions,假设,noun,academic,7,55,AWL
authority,权威,noun,academic,7,55,AWL
authorities,当局,noun,academic,7,55,AWL
authoritative,权威的,adjective,academic,7,55,AWL
available,可用的,adjective,academic,7,55,AWL
availability,可用性,noun,academic,7,55,AWL
unavailable,不可用的,adjective,academic,7,55,AWL
benefit,益处,noun/verb,academic,7,55,AWL
benefits,益处,noun/verb,academic,7,55,AWL
benefited,受益,verb,academic,7,55,AWL
benefiting,受益,verb,academic,7,55,AWL
beneficial,有益的,adjective,academic,7,55,AWL
beneficiary,受益人,noun,academic,7,55,AWL
concept,概念,noun,academic,7,55,AWL
concepts,概念,noun,academic,7,55,AWL
conception,概念,noun,academic,7,55,AWL
conceptual,概念上的,adjective,academic,7,55,AWL
consist,由...组成,verb,academic,7,55,AWL
consisted,由...组成,verb,academic,7,55,AWL
consisting,由...组成,verb,academic,7,55,AWL
consists,由...组成,verb,academic,7,55,AWL
consistent,一致的,adjective,academic,7,55,AWL
consistently,一贯地,adverb,academic,7,55,AWL
consistency,一致性,noun,academic,7,55,AWL
inconsistent,不一致的,adjective,academic,7,55,AWL
constitute,构成,verb,academic,7,55,AWL
constituted,构成,verb,academic,7,55,AWL
constitutes,构成,verb,academic,7,55,AWL
constituting,构成,verb,academic,7,55,AWL
constitution,宪法,noun,academic,7,55,AWL
constitutional,宪法的,adjective,academic,7,55,AWL
context,上下文,noun,academic,7,55,AWL
contexts,上下文,noun,academic,7,55,AWL
contextual,上下文的,adjective,academic,7,55,AWL
contract,合同,noun/verb,academic,7,55,AWL
contracted,收缩,verb,academic,7,55,AWL
contracting,订约,verb,academic,7,55,AWL
contracts,合同,noun/verb,academic,7,55,AWL
contractor,承包商,noun,academic,7,55,AWL
create,创造,verb,academic,7,55,AWL
created,创造,verb,academic,7,55,AWL
creates,创造,verb,academic,7,55,AWL
creating,创造,verb,academic,7,55,AWL
creation,创造,noun,academic,7,55,AWL
creations,创造物,noun,academic,7,55,AWL
creative,创造性的,adjective,academic,7,55,AWL
creativity,创造力,noun,academic,7,55,AWL
creator,创造者,noun,academic,7,55,AWL
data,数据,noun,academic,7,55,AWL
define,定义,verb,academic,7,55,AWL
defined,定义,verb,academic,7,55,AWL
defines,定义,verb,academic,7,55,AWL
defining,定义,verb,academic,7,55,AWL
definition,定义,noun,academic,7,55,AWL
definitions,定义,noun,academic,7,55,AWL
definable,可定义的,adjective,academic,7,55,AWL
redefine,重新定义,verb,academic,7,55,AWL
undefined,未定义的,adjective,academic,7,55,AWL
derive,推导,verb,academic,7,55,AWL
derived,推导,verb,academic,7,55,AWL
derives,推导,verb,academic,7,55,AWL
deriving,推导,verb,academic,7,55,AWL
derivation,推导,noun,academic,7,55,AWL
derivative,派生词,noun,academic,7,55,AWL
distribute,分配,verb,academic,7,55,AWL
distributed,分配,verb,academic,7,55,AWL
distributing,分配,verb,academic,7,55,AWL
distribution,分配,noun,academic,7,55,AWL
distributions,分配,noun,academic,7,55,AWL
distributor,分销商,noun,academic,7,55,AWL
economy,经济,noun,academic,7,55,AWL
economies,经济,noun,academic,7,55,AWL
economic,经济的,adjective,academic,7,55,AWL
economical,节约的,adjective,academic,7,55,AWL
economics,经济学,noun,academic,7,55,AWL
economist,经济学家,noun,academic,7,55,AWL
environment,环境,noun,academic,7,55,AWL
environments,环境,noun,academic,7,55,AWL
environmental,环境的,adjective,academic,7,55,AWL
environmentally,环境上,adverb,academic,7,55,AWL
establish,建立,verb,academic,7,55,AWL
established,建立,verb,academic,7,55,AWL
establishes,建立,verb,academic,7,55,AWL
establishing,建立,verb,academic,7,55,AWL
establishment,建立,noun,academic,7,55,AWL
establishments,机构,noun,academic,7,55,AWL
estimate,估计,verb/noun,academic,7,55,AWL
estimated,估计的,verb/adjective,academic,7,55,AWL
estimates,估计,noun/verb,academic,7,55,AWL
estimating,估计,verb,academic,7,55,AWL
estimation,估计,noun,academic,7,55,AWL
evidence,证据,noun,academic,7,55,AWL
evident,明显的,adjective,academic,7,55,AWL
evidently,明显地,adverb,academic,7,55,AWL
export,出口,verb/noun,academic,7,55,AWL
exported,出口,verb,academic,7,55,AWL
exporting,出口,verb,academic,7,55,AWL
exports,出口,noun/verb,academic,7,55,AWL
exporter,出口商,noun,academic,7,55,AWL
factor,因素,noun,academic,7,55,AWL
factors,因素,noun,academic,7,55,AWL
factored,分解,verb,academic,7,55,AWL
finance,金融,noun/verb,academic,7,55,AWL
finances,财务,noun,academic,7,55,AWL
financial,金融的,adjective,academic,7,55,AWL
financially,财务上,adverb,academic,7,55,AWL
financed,资助,verb,academic,7,55,AWL
financing,融资,noun,academic,7,55,AWL
formula,公式,noun,academic,7,55,AWL
formulas,公式,noun,academic,7,55,AWL
formulate,制定,verb,academic,7,55,AWL
formulation,公式化,noun,academic,7,55,AWL
function,功能,noun/verb,academic,7,55,AWL
functions,功能,noun/verb,academic,7,55,AWL
functioned,起作用,verb,academic,7,55,AWL
functioning,功能,noun/verb,academic,7,55,AWL
functional,功能的,adjective,academic,7,55,AWL
identify,识别,verb,academic,7,55,AWL
identified,识别,verb,academic,7,55,AWL
identifies,识别,verb,academic,7,55,AWL
identifying,识别,verb,academic,7,55,AWL
identification,识别,noun,academic,7,55,AWL
identity,身份,noun,academic,7,55,AWL
identities,身份,noun,academic,7,55,AWL
income,收入,noun,academic,7,55,AWL
indicate,表明,verb,academic,7,55,AWL
indicated,表明,verb,academic,7,55,AWL
indicates,表明,verb,academic,7,55,AWL
indicating,表明,verb,academic,7,55,AWL
indication,迹象,noun,academic,7,55,AWL
indicator,指标,noun,academic,7,55,AWL
individual,个人的,noun/adjective,academic,7,55,AWL
individuals,个人,noun,academic,7,55,AWL
individuality,个性,noun,academic,7,55,AWL
individually,个别地,adverb,academic,7,55,AWL
interpret,解释,verb,academic,7,55,AWL
interpreted,解释,verb,academic,7,55,AWL
interpreting,解释,verb,academic,7,55,AWL
interprets,解释,verb,academic,7,55,AWL
interpretation,解释,noun,academic,7,55,AWL
interpreter,译员,noun,academic,7,55,AWL
misinterpret,误解,verb,academic,7,55,AWL
involve,涉及,verb,academic,7,55,AWL
involved,涉及的,verb/adjective,academic,7,55,AWL
involves,涉及,verb,academic,7,55,AWL
involving,涉及,verb,academic,7,55,AWL
involvement,参与,noun,academic,7,55,AWL
issue,问题,noun/verb,academic,7,55,AWL
issues,问题,noun/verb,academic,7,55,AWL
issued,发行,verb,academic,7,55,AWL
issuing,发行,verb,academic,7,55,AWL
labour,劳动,noun,academic,7,55,AWL
labours,劳动,noun,academic,7,55,AWL
laboured,辛勤工作,verb,academic,7,55,AWL
labor,劳动,noun,academic,7,55,AWL
legal,合法的,adjective,academic,7,55,AWL
legally,合法地,adverb,academic,7,55,AWL
illegal,非法的,adjective,academic,7,55,AWL
illegally,非法地,adverb,academic,7,55,AWL
legislate,立法,verb,academic,7,55,AWL
legislation,立法,noun,academic,7,55,AWL
legislative,立法的,adjective,academic,7,55,AWL
legislator,立法者,noun,academic,7,55,AWL
legislature,立法机关,noun,academic,7,55,AWL
major,主要的,adjective,academic,7,55,AWL
majority,多数,noun,academic,7,55,AWL
majorities,多数,noun,academic,7,55,AWL
method,方法,noun,academic,7,55,AWL
methods,方法,noun,academic,7,55,AWL
methodology,方法论,noun,academic,7,55,AWL
methodological,方法的,adjective,academic,7,55,AWL
occur,发生,verb,academic,7,55,AWL
occurred,发生,verb,academic,7,55,AWL
occurring,发生,verb,academic,7,55,AWL
occurs,发生,verb,academic,7,55,AWL
reoccur,再次发生,verb,academic,7,55,AWL
percent,百分比,noun,academic,7,55,AWL
percentage,百分比,noun,academic,7,55,AWL
period,时期,noun,academic,7,55,AWL
periods,时期,noun,academic,7,55,AWL
periodic,周期的,adjective,academic,7,55,AWL
periodical,期刊,noun,academic,7,55,AWL
periodically,定期地,adverb,academic,7,55,AWL
policy,政策,noun,academic,7,55,AWL
policies,政策,noun,academic,7,55,AWL
principle,原则,noun,academic,7,55,AWL
principles,原则,noun,academic,7,55,AWL
principled,有原则的,adjective,academic,7,55,AWL
proceed,继续进行,verb,academic,7,55,AWL
proceeded,继续进行,verb,academic,7,55,AWL
proceeding,程序,noun,academic,7,55,AWL
proceeds,收益,noun,academic,7,55,AWL
procedure,程序,noun,academic,7,55,AWL
procedures,程序,noun,academic,7,55,AWL
process,过程,noun/verb,academic,7,55,AWL
processes,过程,noun/verb,academic,7,55,AWL
processed,处理,verb,academic,7,55,AWL
processing,处理,noun,academic,7,55,AWL
require,需要,verb,academic,7,55,AWL
required,必需的,verb/adjective,academic,7,55,AWL
requires,需要,verb,academic,7,55,AWL
requiring,需要,verb,academic,7,55,AWL
requirement,要求,noun,academic,7,55,AWL
respond,回应,verb,academic,7,55,AWL
responded,回应,verb,academic,7,55,AWL
responding,回应,verb,academic,7,55,AWL
responds,回应,verb,academic,7,55,AWL
response,回应,noun,academic,7,55,AWL
responses,回应,noun,academic,7,55,AWL
responsive,响应的,adjective,academic,7,55,AWL
role,角色,noun,academic,7,55,AWL
roles,角色,noun,academic,7,55,AWL
section,部分,noun,academic,7,55,AWL
sections,部分,noun,academic,7,55,AWL
sectioned,分割,verb,academic,7,55,AWL
sector,部门,noun,academic,7,55,AWL
sectors,部门,noun,academic,7,55,AWL
significant,重要的,adjective,academic,7,55,AWL
significantly,显著地,adverb,academic,7,55,AWL
significance,重要性,noun,academic,7,55,AWL
insignificant,不重要的,adjective,academic,7,55,AWL
similar,相似的,adjective,academic,7,55,AWL
similarly,同样,adverb,academic,7,55,AWL
similarity,相似性,noun,academic,7,55,AWL
dissimilar,不同的,adjective,academic,7,55,AWL
source,来源,noun,academic,7,55,AWL
sources,来源,noun,academic,7,55,AWL
sourced,采购,verb,academic,7,55,AWL
specific,具体的,adjective,academic,7,55,AWL
specifically,具体地,adverb,academic,7,55,AWL
specification,规格,noun,academic,7,55,AWL
structure,结构,noun/verb,academic,7,55,AWL
structures,结构,noun,academic,7,55,AWL
structured,有结构的,adjective,academic,7,55,AWL
structural,结构的,adjective,academic,7,55,AWL
theory,理论,noun,academic,7,55,AWL
theories,理论,noun,academic,7,55,AWL
theoretical,理论的,adjective,academic,7,55,AWL
theorist,理论家,noun,academic,7,55,AWL
vary,变化,verb,academic,7,55,AWL
varies,变化,verb,academic,7,55,AWL
variety,多样,noun,academic,7,55,AWL
various,各种各样的,adjective,academic,7,55,AWL
variable,变量,noun/adjective,academic,7,55,AWL
variation,变化,noun,academic,7,55,AWL
varying,不同的,adjective,academic,7,55,AWL
achieve,实现,verb,academic,8,50,AWL
achieved,实现,verb,academic,8,50,AWL
achieves,实现,verb,academic,8,50,AWL
achieving,实现,verb,academic,8,50,AWL
achievement,成就,noun,academic,8,50,AWL
achievements,成就,noun,academic,8,50,AWL
achievable,可实现的,adjective,academic,8,50,AWL
acquire,获得,verb,academic,8,50,AWL
acquired,获得,verb,academic,8,50,AWL
acquires,获得,verb,academic,8,50,AWL
acquiring,获得,verb,academic,8,50,AWL
acquisition,获得,noun,academic,8,50,AWL
administrate,管理,verb,academic,8,50,AWL
administration,管理,noun,academic,8,50,AWL
administrative,管理的,adjective,academic,8,50,AWL
administrator,管理员,noun,academic,8,50,AWL
affect,影响,verb,academic,8,50,AWL
affected,影响,verb,academic,8,50,AWL
affects,影响,verb,academic,8,50,AWL
affecting,影响,verb,academic,8,50,AWL
affective,情感的,adjective,academic,8,50,AWL
unaffected,不受影响的,adjective,academic,8,50,AWL
appropriate,适当的,adjective,academic,8,50,AWL
appropriacy,适当,noun,academic,8,50,AWL
inappropriate,不适当的,adjective,academic,8,50,AWL
aspect,方面,noun,academic,8,50,AWL
aspects,方面,noun,academic,8,50,AWL
assist,帮助,verb,academic,8,50,AWL
assisted,帮助,verb,academic,8,50,AWL
assisting,帮助,verb,academic,8,50,AWL
assists,帮助,verb,academic,8,50,AWL
assistance,帮助,noun,academic,8,50,AWL
assistant,助手,noun,academic,8,50,AWL
category,类别,noun,academic,8,50,AWL
categories,类别,noun,academic,8,50,AWL
categorise,分类,verb,academic,8,50,AWL
categorization,分类,noun,academic,8,50,AWL
chapter,章节,noun,academic,8,50,AWL
chapters,章节,noun,academic,8,50,AWL
