word,translation,pos,category,level,frequency,source
abandon,放弃,verb,cambridge,6,48,Cambridge_IELTS
ability,能力,noun,cambridge,5,50,Cambridge_IELTS
absence,缺席,noun,cambridge,6,48,Cambridge_IELTS
absolute,绝对的,adjective,cambridge,6,48,Cambridge_IELTS
absorb,吸收,verb,cambridge,6,48,Cambridge_IELTS
abstract,抽象的,adjective,cambridge,6,48,Cambridge_IELTS
abundant,丰富的,adjective,cambridge,6,48,Cambridge_IELTS
academic,学术的,adjective,cambridge,5,50,Cambridge_IELTS
accelerate,加速,verb,cambridge,7,46,Cambridge_IELTS
accent,口音,noun,cambridge,5,50,Cambridge_IELTS
access,通道,noun,cambridge,5,50,Cambridge_IELTS
accessible,可进入的,adjective,cambridge,6,48,Cambridge_IELTS
accident,事故,noun,cambridge,5,50,Cambridge_IELTS
accompany,陪伴,verb,cambridge,6,48,Cambridge_IELTS
accomplish,完成,verb,cambridge,7,46,Cambridge_IELTS
accord,一致,noun,cambridge,7,46,Cambridge_IELTS
account,账户,noun,cambridge,5,50,Cambridge_IELTS
accumulate,积累,verb,cambridge,7,46,Cambridge_IELTS
accuracy,准确性,noun,cambridge,6,48,Cambridge_IELTS
accuse,控告,verb,cambridge,6,48,Cambridge_IELTS
accustomed,习惯的,adjective,cambridge,7,46,Cambridge_IELTS
ache,疼痛,noun,cambridge,5,50,Cambridge_IELTS
achieve,实现,verb,cambridge,5,50,Cambridge_IELTS
acid,酸,noun,cambridge,6,48,Cambridge_IELTS
acknowledge,承认,verb,cambridge,7,46,Cambridge_IELTS
acquaintance,熟人,noun,cambridge,6,48,Cambridge_IELTS
acquire,获得,verb,cambridge,6,48,Cambridge_IELTS
acquisition,获得,noun,cambridge,7,46,Cambridge_IELTS
acre,英亩,noun,cambridge,5,50,Cambridge_IELTS
adequate,足够的,adjective,cambridge,6,48,Cambridge_IELTS
adjust,调整,verb,cambridge,6,48,Cambridge_IELTS
administration,管理,noun,cambridge,6,48,Cambridge_IELTS
admire,钦佩,verb,cambridge,5,50,Cambridge_IELTS
admission,准许进入,noun,cambridge,6,48,Cambridge_IELTS
adolescent,青少年,noun,cambridge,7,46,Cambridge_IELTS
adopt,采用,verb,cambridge,6,48,Cambridge_IELTS
advance,前进,noun/verb,cambridge,5,50,Cambridge_IELTS
adventure,冒险,noun,cambridge,5,50,Cambridge_IELTS
advertise,广告,verb,cambridge,5,50,Cambridge_IELTS
advocate,提倡,verb,cambridge,7,46,Cambridge_IELTS
aesthetic,美学的,adjective,cambridge,7,46,Cambridge_IELTS
affection,感情,noun,cambridge,6,48,Cambridge_IELTS
afford,负担得起,verb,cambridge,5,50,Cambridge_IELTS
agenda,议程,noun,cambridge,6,48,Cambridge_IELTS
aggressive,侵略性的,adjective,cambridge,6,48,Cambridge_IELTS
agriculture,农业,noun,cambridge,6,48,Cambridge_IELTS
aid,援助,noun,cambridge,5,50,Cambridge_IELTS
alarm,警报,noun,cambridge,5,50,Cambridge_IELTS
album,相册,noun,cambridge,5,50,Cambridge_IELTS
alcohol,酒精,noun,cambridge,5,50,Cambridge_IELTS
alert,警惕的,adjective,cambridge,6,48,Cambridge_IELTS
allergy,过敏,noun,cambridge,6,48,Cambridge_IELTS
allocate,分配,verb,cambridge,7,46,Cambridge_IELTS
allowance,津贴,noun,cambridge,6,48,Cambridge_IELTS
ally,同盟,noun,cambridge,7,46,Cambridge_IELTS
alter,改变,verb,cambridge,6,48,Cambridge_IELTS
amateur,业余爱好者,noun,cambridge,6,48,Cambridge_IELTS
amaze,使惊奇,verb,cambridge,5,50,Cambridge_IELTS
ambassador,大使,noun,cambridge,6,48,Cambridge_IELTS
ambition,雄心,noun,cambridge,6,48,Cambridge_IELTS
ample,充足的,adjective,cambridge,7,46,Cambridge_IELTS
amuse,娱乐,verb,cambridge,5,50,Cambridge_IELTS
analyse,分析,verb,cambridge,6,48,Cambridge_IELTS
ancestor,祖先,noun,cambridge,6,48,Cambridge_IELTS
anchor,锚,noun,cambridge,6,48,Cambridge_IELTS
ancient,古代的,adjective,cambridge,5,50,Cambridge_IELTS
anecdote,轶事,noun,cambridge,7,46,Cambridge_IELTS
angle,角度,noun,cambridge,5,50,Cambridge_IELTS
ankle,脚踝,noun,cambridge,5,50,Cambridge_IELTS
anniversary,周年纪念,noun,cambridge,6,48,Cambridge_IELTS
announce,宣布,verb,cambridge,5,50,Cambridge_IELTS
annoy,使烦恼,verb,cambridge,5,50,Cambridge_IELTS
annual,年度的,adjective,cambridge,6,48,Cambridge_IELTS
anticipate,预期,verb,cambridge,7,46,Cambridge_IELTS
anxiety,焦虑,noun,cambridge,6,48,Cambridge_IELTS
apologise,道歉,verb,cambridge,5,50,Cambridge_IELTS
apparatus,器械,noun,cambridge,7,46,Cambridge_IELTS
appeal,呼吁,noun/verb,cambridge,6,48,Cambridge_IELTS
appetite,食欲,noun,cambridge,6,48,Cambridge_IELTS
applaud,鼓掌,verb,cambridge,6,48,Cambridge_IELTS
appliance,器具,noun,cambridge,6,48,Cambridge_IELTS
applicant,申请人,noun,cambridge,6,48,Cambridge_IELTS
appoint,任命,verb,cambridge,6,48,Cambridge_IELTS
appreciate,欣赏,verb,cambridge,5,50,Cambridge_IELTS
apprentice,学徒,noun,cambridge,6,48,Cambridge_IELTS
appropriate,适当的,adjective,cambridge,6,48,Cambridge_IELTS
approve,批准,verb,cambridge,6,48,Cambridge_IELTS
approximate,大约的,adjective,cambridge,6,48,Cambridge_IELTS
architect,建筑师,noun,cambridge,6,48,Cambridge_IELTS
arise,出现,verb,cambridge,6,48,Cambridge_IELTS
arithmetic,算术,noun,cambridge,6,48,Cambridge_IELTS
arouse,引起,verb,cambridge,7,46,Cambridge_IELTS
arrange,安排,verb,cambridge,5,50,Cambridge_IELTS
arrest,逮捕,verb,cambridge,6,48,Cambridge_IELTS
arrow,箭,noun,cambridge,5,50,Cambridge_IELTS
artificial,人工的,adjective,cambridge,6,48,Cambridge_IELTS
ashamed,羞愧的,adjective,cambridge,5,50,Cambridge_IELTS
aspect,方面,noun,cambridge,6,48,Cambridge_IELTS
aspire,渴望,verb,cambridge,7,46,Cambridge_IELTS
assemble,集合,verb,cambridge,6,48,Cambridge_IELTS
assess,评估,verb,cambridge,6,48,Cambridge_IELTS
assign,分配,verb,cambridge,6,48,Cambridge_IELTS
assist,帮助,verb,cambridge,5,50,Cambridge_IELTS
associate,联系,verb,cambridge,6,48,Cambridge_IELTS
assume,假设,verb,cambridge,6,48,Cambridge_IELTS
assure,保证,verb,cambridge,6,48,Cambridge_IELTS
astonish,使惊讶,verb,cambridge,6,48,Cambridge_IELTS
athlete,运动员,noun,cambridge,5,50,Cambridge_IELTS
atmosphere,气氛,noun,cambridge,6,48,Cambridge_IELTS
attach,附上,verb,cambridge,5,50,Cambridge_IELTS
attack,攻击,verb,cambridge,5,50,Cambridge_IELTS
attain,达到,verb,cambridge,7,46,Cambridge_IELTS
attempt,尝试,noun/verb,cambridge,5,50,Cambridge_IELTS
attend,参加,verb,cambridge,5,50,Cambridge_IELTS
attitude,态度,noun,cambridge,5,50,Cambridge_IELTS
attract,吸引,verb,cambridge,5,50,Cambridge_IELTS
audience,观众,noun,cambridge,5,50,Cambridge_IELTS
authority,权威,noun,cambridge,6,48,Cambridge_IELTS
automatic,自动的,adjective,cambridge,6,48,Cambridge_IELTS
available,可用的,adjective,cambridge,5,50,Cambridge_IELTS
aware,知道的,adjective,cambridge,5,50,Cambridge_IELTS
