word,translation,pos,category,level,frequency,source
academic,学术的,adjective,ielts_education,6,90,IELTS_Core
academy,学院,noun,ielts_education,6,70,IELTS_Core
admission,入学,noun,ielts_education,6,80,IELTS_Core
advanced,高级的,adjective,ielts_education,5,85,IELTS_Core
assignment,作业,noun,ielts_education,5,90,IELTS_Core
attend,参加,verb,ielts_education,4,90,IELTS_Core
attendance,出勤,noun,ielts_education,6,75,IELTS_Core
auditorium,礼堂,noun,ielts_education,7,60,IELTS_Core
bachelor,学士,noun,ielts_education,6,80,IELTS_Core
campus,校园,noun,ielts_education,6,85,IELTS_Core
certificate,证书,noun,ielts_education,5,85,IELTS_Core
classroom,教室,noun,ielts_education,4,90,IELTS_Core
compulsory,强制的,adjective,ielts_education,6,75,IELTS_Core
course,课程,noun,ielts_education,4,95,IELTS_Core
credit,学分,noun,ielts_education,5,85,IELTS_Core
curriculum,课程,noun,ielts_education,7,75,IELTS_Core
degree,学位,noun,ielts_education,5,90,IELTS_Core
diploma,文凭,noun,ielts_education,6,80,IELTS_Core
discipline,学科,noun,ielts_education,6,80,IELTS_Core
dissertation,论文,noun,ielts_education,8,70,IELTS_Core
doctorate,博士,noun,ielts_education,7,65,IELTS_Core
dropout,退学,noun,ielts_education,6,70,IELTS_Core
elective,选修的,adjective,ielts_education,6,70,IELTS_Core
enroll,注册,verb,ielts_education,6,80,IELTS_Core
enrollment,注册,noun,ielts_education,6,75,IELTS_Core
essay,论文,noun,ielts_education,5,90,IELTS_Core
examination,考试,noun,ielts_education,5,95,IELTS_Core
exam,考试,noun,ielts_education,4,98,IELTS_Core
faculty,院系,noun,ielts_education,6,80,IELTS_Core
fellowship,奖学金,noun,ielts_education,7,65,IELTS_Core
fraternity,兄弟会,noun,ielts_education,7,60,IELTS_Core
freshman,大一新生,noun,ielts_education,6,75,IELTS_Core
grade,成绩,noun,ielts_education,4,90,IELTS_Core
graduation,毕业,noun,ielts_education,6,85,IELTS_Core
grant,助学金,noun,ielts_education,6,75,IELTS_Core
headmaster,校长,noun,ielts_education,6,70,IELTS_Core
honors,荣誉,noun,ielts_education,6,70,IELTS_Core
instructor,讲师,noun,ielts_education,6,80,IELTS_Core
intellect,智力,noun,ielts_education,6,70,IELTS_Core
interdisciplinary,跨学科的,adjective,ielts_education,8,65,IELTS_Core
junior,大三学生,noun,ielts_education,6,75,IELTS_Core
kindergarten,幼儿园,noun,ielts_education,6,75,IELTS_Core
lecture,讲座,noun,ielts_education,5,90,IELTS_Core
lecturer,讲师,noun,ielts_education,6,85,IELTS_Core
literacy,读写能力,noun,ielts_education,6,75,IELTS_Core
major,专业,noun,ielts_education,5,90,IELTS_Core
master,硕士,noun,ielts_education,6,80,IELTS_Core
matriculation,入学,noun,ielts_education,8,60,IELTS_Core
mentor,导师,noun,ielts_education,6,75,IELTS_Core
minor,辅修,noun,ielts_education,6,70,IELTS_Core
module,模块,noun,ielts_education,6,75,IELTS_Core
optional,选修的,adjective,ielts_education,6,75,IELTS_Core
paper,论文,noun,ielts_education,4,90,IELTS_Core
placement,分班,noun,ielts_education,6,70,IELTS_Core
postgraduate,研究生,noun,ielts_education,7,75,IELTS_Core
prerequisite,先决条件,noun,ielts_education,7,70,IELTS_Core
preschool,学前,noun,ielts_education,6,70,IELTS_Core
principal,校长,noun,ielts_education,6,75,IELTS_Core
professor,教授,noun,ielts_education,6,90,IELTS_Core
project,项目,noun,ielts_education,4,95,IELTS_Core
pupil,学生,noun,ielts_education,4,80,IELTS_Core
quiz,小测验,noun,ielts_education,5,80,IELTS_Core
reading,阅读,noun,ielts_education,4,95,IELTS_Core
recitation,背诵,noun,ielts_education,7,60,IELTS_Core
register,注册,verb,ielts_education,5,85,IELTS_Core
registration,注册,noun,ielts_education,6,80,IELTS_Core
scholarship,奖学金,noun,ielts_education,6,85,IELTS_Core
schooling,教育,noun,ielts_education,6,70,IELTS_Core
semester,学期,noun,ielts_education,6,90,IELTS_Core
seminar,研讨会,noun,ielts_education,6,80,IELTS_Core
senior,大四学生,noun,ielts_education,6,75,IELTS_Core
sophomore,大二学生,noun,ielts_education,7,70,IELTS_Core
specialization,专业,noun,ielts_education,7,70,IELTS_Core
specialize,专攻,verb,ielts_education,6,75,IELTS_Core
syllabus,大纲,noun,ielts_education,7,75,IELTS_Core
term,学期,noun,ielts_education,4,90,IELTS_Core
textbook,教科书,noun,ielts_education,5,85,IELTS_Core
thesis,论文,noun,ielts_education,7,80,IELTS_Core
transcript,成绩单,noun,ielts_education,7,70,IELTS_Core
transfer,转学,verb,ielts_education,6,80,IELTS_Core
tuition,学费,noun,ielts_education,6,85,IELTS_Core
tutor,导师,noun,ielts_education,5,80,IELTS_Core
tutorial,辅导课,noun,ielts_education,6,75,IELTS_Core
undergraduate,本科生,noun,ielts_education,7,80,IELTS_Core
university,大学,noun,ielts_education,5,95,IELTS_Core
valedictorian,毕业生代表,noun,ielts_education,9,55,IELTS_Core
vocation,职业,noun,ielts_education,6,70,IELTS_Core
workshop,研讨会,noun,ielts_education,6,80,IELTS_Core
ambition,野心,noun,ielts_employment,5,80,IELTS_Core
applicant,申请者,noun,ielts_employment,6,80,IELTS_Core
application,申请,noun,ielts_employment,5,90,IELTS_Core
apply,申请,verb,ielts_employment,4,90,IELTS_Core
apprentice,学徒,noun,ielts_employment,6,70,IELTS_Core
apprenticeship,学徒期,noun,ielts_employment,7,65,IELTS_Core
assignment,任务,noun,ielts_employment,5,85,IELTS_Core
associate,同事,noun,ielts_employment,6,80,IELTS_Core
authority,权威,noun,ielts_employment,5,85,IELTS_Core
benefit,福利,noun,ielts_employment,4,90,IELTS_Core
bonus,奖金,noun,ielts_employment,5,80,IELTS_Core
boss,老板,noun,ielts_employment,4,90,IELTS_Core
candidate,候选人,noun,ielts_employment,5,85,IELTS_Core
career,职业,noun,ielts_employment,4,95,IELTS_Core
colleague,同事,noun,ielts_employment,5,90,IELTS_Core
commission,佣金,noun,ielts_employment,6,75,IELTS_Core
committee,委员会,noun,ielts_employment,5,80,IELTS_Core
company,公司,noun,ielts_employment,3,98,IELTS_Core
compensation,补偿,noun,ielts_employment,6,75,IELTS_Core
contract,合同,noun,ielts_employment,5,90,IELTS_Core
cooperate,合作,verb,ielts_employment,5,80,IELTS_Core
cooperation,合作,noun,ielts_employment,5,80,IELTS_Core
corporate,公司的,adjective,ielts_employment,6,80,IELTS_Core
coworker,同事,noun,ielts_employment,5,75,IELTS_Core
dismiss,解雇,verb,ielts_employment,5,75,IELTS_Core
dismissal,解雇,noun,ielts_employment,6,70,IELTS_Core
employ,雇用,verb,ielts_employment,4,90,IELTS_Core
employee,雇员,noun,ielts_employment,4,90,IELTS_Core
employer,雇主,noun,ielts_employment,4,90,IELTS_Core
