word,translation,pos,category,level,frequency,source
according to,根据,phrase,academic_phrases,5,90,Academic_Phrases
as a result,因此,phrase,academic_phrases,5,85,Academic_Phrases
as well as,以及,phrase,academic_phrases,4,90,Academic_Phrases
based on,基于,phrase,academic_phrases,5,85,Academic_Phrases
because of,因为,phrase,academic_phrases,4,90,Academic_Phrases
by means of,通过,phrase,academic_phrases,5,75,Academic_Phrases
due to,由于,phrase,academic_phrases,5,85,Academic_Phrases
for example,例如,phrase,academic_phrases,4,90,Academic_Phrases
for instance,例如,phrase,academic_phrases,5,85,Academic_Phrases
in addition,此外,phrase,academic_phrases,5,85,Academic_Phrases
in case of,万一,phrase,academic_phrases,5,75,Academic_Phrases
in contrast,相比之下,phrase,academic_phrases,5,80,Academic_Phrases
in fact,事实上,phrase,academic_phrases,4,85,Academic_Phrases
in general,一般来说,phrase,academic_phrases,5,80,Academic_Phrases
in order to,为了,phrase,academic_phrases,4,90,Academic_Phrases
in other words,换句话说,phrase,academic_phrases,5,80,Academic_Phrases
in particular,特别是,phrase,academic_phrases,5,80,Academic_Phrases
in relation to,关于,phrase,academic_phrases,6,75,Academic_Phrases
in terms of,就...而言,phrase,academic_phrases,5,85,Academic_Phrases
in turn,转而,phrase,academic_phrases,5,75,Academic_Phrases
instead of,代替,phrase,academic_phrases,5,85,Academic_Phrases
moreover,而且,adverb,academic_phrases,5,85,Academic_Phrases
on average,平均,phrase,academic_phrases,5,75,Academic_Phrases
on the other hand,另一方面,phrase,academic_phrases,5,85,Academic_Phrases
on the contrary,相反,phrase,academic_phrases,5,75,Academic_Phrases
prior to,在...之前,phrase,academic_phrases,6,70,Academic_Phrases
such as,例如,phrase,academic_phrases,4,90,Academic_Phrases
that is,即,phrase,academic_phrases,5,80,Academic_Phrases
with regard to,关于,phrase,academic_phrases,5,75,Academic_Phrases
with respect to,关于,phrase,academic_phrases,6,75,Academic_Phrases
