word,translation,pos,category,level,frequency,source
actually,实际上,adverb,speaking,4,90,IELTS_Speaking
basically,基本上,adverb,speaking,4,85,IELTS_Speaking
certainly,当然,adverb,speaking,4,85,IELTS_Speaking
definitely,肯定,adverb,speaking,4,85,IELTS_Speaking
honestly,诚实地,adverb,speaking,4,80,IELTS_Speaking
literally,字面上,adverb,speaking,5,80,IELTS_Speaking
obviously,显然,adverb,speaking,4,85,IELTS_Speaking
personally,就个人而言,adverb,speaking,4,85,IELTS_Speaking
probably,可能,adverb,speaking,4,85,IELTS_Speaking
simply,简单地,adverb,speaking,4,85,IELTS_Speaking
supposedly,据说,adverb,speaking,5,75,IELTS_Speaking
totally,完全,adverb,speaking,4,85,IELTS_Speaking
apparently,显然,adverb,speaking,5,80,IELTS_Speaking
approximately,大约,adverb,speaking,5,80,IELTS_Speaking
essentially,本质上,adverb,speaking,6,75,IELTS_Speaking
fortunately,幸运地,adverb,speaking,5,75,IELTS_Speaking
frankly,坦率地,adverb,speaking,5,75,IELTS_Speaking
generally,一般,adverb,speaking,4,85,IELTS_Speaking
hopefully,希望,adverb,speaking,4,80,IELTS_Speaking
ideally,理想地,adverb,speaking,5,75,IELTS_Speaking
incidentally,顺便,adverb,speaking,6,70,IELTS_Speaking
interestingly,有趣的是,adverb,speaking,5,75,IELTS_Speaking
luckily,幸运地,adverb,speaking,4,75,IELTS_Speaking
mainly,主要,adverb,speaking,4,85,IELTS_Speaking
mostly,主要,adverb,speaking,4,80,IELTS_Speaking
naturally,自然地,adverb,speaking,4,80,IELTS_Speaking
normally,通常,adverb,speaking,4,85,IELTS_Speaking
originally,最初,adverb,speaking,5,80,IELTS_Speaking
particularly,特别,adverb,speaking,5,85,IELTS_Speaking
perhaps,也许,adverb,speaking,4,85,IELTS_Speaking
possibly,可能,adverb,speaking,4,80,IELTS_Speaking
practically,实际上,adverb,speaking,5,75,IELTS_Speaking
presumably,大概,adverb,speaking,6,70,IELTS_Speaking
primarily,主要,adverb,speaking,5,80,IELTS_Speaking
rarely,很少,adverb,speaking,4,80,IELTS_Speaking
really,真地,adverb,speaking,3,95,IELTS_Speaking
relatively,相对,adverb,speaking,5,80,IELTS_Speaking
seriously,认真地,adverb,speaking,4,80,IELTS_Speaking
significantly,显著地,adverb,speaking,5,80,IELTS_Speaking
slightly,稍微,adverb,speaking,4,80,IELTS_Speaking
somehow,以某种方式,adverb,speaking,4,75,IELTS_Speaking
somewhat,有点,adverb,speaking,5,80,IELTS_Speaking
specifically,具体,adverb,speaking,5,80,IELTS_Speaking
strongly,强烈,adverb,speaking,4,80,IELTS_Speaking
supposedly,据说,adverb,speaking,5,75,IELTS_Speaking
surprisingly,令人惊讶,adverb,speaking,5,75,IELTS_Speaking
typically,典型地,adverb,speaking,5,80,IELTS_Speaking
ultimately,最终,adverb,speaking,6,75,IELTS_Speaking
unfortunately,不幸,adverb,speaking,4,80,IELTS_Speaking
virtually,几乎,adverb,speaking,5,80,IELTS_Speaking
wonderfully,精彩地,adverb,speaking,4,75,IELTS_Speaking
